image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
1 843.264 171.072 2 858.816 171.072 -48.654 22.7546 81.8015
1 839.808 267.84 2 853.632 267.84 -48.7873 7.86825 83.0498
1 680.832 309.312 2 689.472 309.312 -17.4217 1.06385 59.2533
1 480.384 438.912 2 470.016 438.912 0.277411 -2.50828 10.8083
1 839.808 158.976 2 855.36 158.976 -48.225 24.6843 81.9468
1 853.632 214.272 2 867.456 214.272 -31.0207 9.80243 49.9973
1 839.808 174.528 2 855.36 174.528 -48.2957 22.306 82.0875
1 883.008 176.256 2 898.56 176.256 -58.3416 23.3537 87.4669
1 361.152 292.032 2 362.88 292.032 5.42424 1.03746 18.3427
1 844.992 179.712 2 858.816 179.712 -48.9766 21.4404 81.9174
1 867.456 293.76 2 883.008 293.76 -68.8876 4.89193 108.383
1 877.824 252.288 2 895.104 252.288 -58.0274 10.906 88.3474
1 442.368 228.096 2 452.736 228.096 25.1141 25.6692 142.298
1 240.192 407.808 2 233.28 407.808 5.25529 -1.79692 10.4173
1 53.568 288.576 2 67.392 288.576 27.6062 1.98216 29.0426
1 483.84 250.56 2 492.48 250.56 4.79782 7.63378 56.3808
1 402.624 437.184 2 392.256 437.184 1.78686 -2.34677 10.2292
1 412.992 426.816 2 402.624 426.816 1.5854 -2.14615 10.2735
1 77.76 330.048 2 89.856 330.048 29.3668 -0.538683 32.5166
1 525.312 323.136 2 525.312 323.136 -0.520227 -0.124137 18.7646
1 713.318 337.997 2 715.392 337.997 -10.5499 -1.05491 28.3808
1 875.059 279.936 2 891.648 279.936 -57.7909 6.31669 88.7073
1 835.661 279.936 2 850.176 279.936 -48.2941 5.98686 83.3145
1 881.28 176.256 2 897.869 176.256 -57.8734 23.2805 87.1738
1 526.694 321.408 2 526.694 321.408 -0.570851 -0.0612304 18.7798
1 833.587 257.126 2 848.103 257.126 -47.9816 9.59527 83.298
1 331.776 416.794 2 321.408 416.794 3.16964 -1.9089 10.0616
