num_cameras num_3d_landmarks num_observations
10 300 1084
4 202 534.491 367.276
5 202 534.491 367.276
6 202 534.491 367.276
7 202 534.491 367.276
4 203 820.549 311.737
5 203 831.298 311.737
6 203 842.048 311.737
4 204 552 175
6 204 552 174
8 204 552 174
4 205 353 298
6 205 355 298
5 205 354 298
4 206 375.6 444
6 206 357.6 441.6
5 206 367.2 442.8
4 207 926.4 276
6 207 962.4 276
7 207 981.6 276
4 208 580.8 214.8
6 208 582 214.8
7 208 583.2 214.8
5 208 582 214.8
8 208 583.2 213.6
9 208 583.2 213.6
4 209 367.027 443.75
6 209 348.365 441.677
8 209 331.776 439.603
4 210 277 429
7 210 256 424
8 210 250 422
4 211 582.267 213.996
7 211 584.755 213.996
5 211 582.267 213.996
8 211 584.755 213.996
9 211 584.755 213.996
4 212 380 421
8 212 344 417
9 212 336 416
4 213 819 307
8 213 812 314
9 213 823 315
5 214 505 246
6 214 513 246
7 214 521 246
5 215 544 167
6 215 544 167
7 215 544 167
5 216 944 270
6 216 963 270
7 216 982 270
5 217 307 443
6 217 299 441
8 217 284 438
5 218 944.4 282
6 218 962.4 282
7 218 981.6 282
5 219 795.6 212.4
6 219 807.6 211.2
7 219 819.6 210
5 220 313.2 436.8
6 220 304.8 435.6
8 220 289.2 432
9 220 282 430.8
5 221 438 309.6
6 221 440.4 309.6
9 221 448.8 309.6
5 222 549.6 295.2
6 222 549.6 295.2
7 222 549.6 295.2
8 222 549.6 295.2
9 222 549.6 295.2
5 223 594.72 336.96
6 223 597.6 336.96
7 223 600.48 336.96
5 224 676.8 239.04
6 224 685.44 237.6
8 224 705.6 237.6
5 225 355.68 443.52
6 225 347.04 442.08
7 225 338.4 440.64
5 226 309.6 432
6 226 300.96 430.56
7 226 293.76 429.12
5 227 897.12 203.04
6 227 914.4 201.6
7 227 931.68 200.16
5 228 335.52 298.08
6 228 336.96 298.08
8 228 338.4 298.08
7 228 336.96 298.08
5 229 127.872 240.192
6 229 139.968 240.192
7 229 152.064 241.92
8 229 164.16 241.92
5 230 544.32 167.616
6 230 544.32 167.616
7 230 544.32 167.616
5 231 490.752 93.312
6 231 490.752 93.312
7 231 490.752 93.312
8 231 489.024 93.312
5 232 293.76 193.536
6 232 305.856 195.264
8 232 330.048 196.992
5 233 407.808 432
6 233 399.168 432
9 233 371.52 428.544
8 233 380.16 430.272
5 234 572.314 199.066
6 234 572.314 199.066
7 234 572.314 199.066
8 234 572.314 199.066
5 235 537.477 358.318
6 235 537.477 358.318
7 235 537.477 358.318
5 236 534.989 368.271
6 236 534.989 368.271
7 236 534.989 368.271
8 236 534.989 368.271
9 236 534.989 368.271
5 237 154.276 236.39
6 237 166.717 236.39
8 237 191.601 238.879
9 237 204.042 238.879
5 238 379.22 435.954
6 238 370.262 435.954
7 238 361.304 435.954
5 239 519.561 367.276
6 239 519.561 367.276
7 239 519.561 367.276
